Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_026413185.1,ASM2641318v1,Pueraria montana var. lobata,3893,,,PlobLT13,,,,,939214006,11,Chromosome,11/27/22,JAOZWA01,245
GCF_963169125.1,drHumLupu1.1,Humulus lupulus,3486,,,,,,,GCF_963169125.1-RS_2024_01,2488098718,10,Chromosome,8/19/23,CAUJGV01,319
GCF_019175385.1,ASM1917538v2,Lycium barbarum,112863,,,,,Lr01,,GCF_019175385.1-RS_2023_10,1669658834,12,Chromosome,7/8/21,JAHTKO01,165
GCA_021464415.1,ASM2146441v1,Lonicera japonica,105884,,,Sijihua,,,,,886131823,9,Chromosome,1/19/22,JAKCWG01,967
GCA_016647705.1,ASM1664770v1,Eucommia ulmoides,4392,,,Weixian,,,,,947850454,17,Chromosome,1/19/21,JAENRU01,501
GCF_001876935.1,Aspof.V1,Asparagus officinalis,4686,,,,,,male,NCBI Asparagus officinalis Annotation Release 100,1187538024,10,Chromosome,2/6/17,MPDI01,11792
GCA_033617975.1,84K_subgenomeG,Populus alba x Populus glandulosa,153471,,,84K,,,,,416757694,19,Chromosome,11/14/23,JAWQUE01,27
GCA_040438285.1,BJFU_zoysia2.1,Zoysia japonica,309978,,,,Compdare,LH-2023a,,,326397847,20,Chromosome,7/2/24,JAZIFL01,73
GCA_020226455.1,ZGL_assembly,Prunus salicina,88123,,,ZGL,,,,,267139013,8,Chromosome,10/5/21,JACJUT01,110
GCA_018350135.1,ASM1835013v1,Citrus trifoliata,37690,,,ZK8,,,,,303066955,9,Chromosome,5/13/21,VKKW01,707
GCA_009761775.1,UNIPI_FiCari_1.0,Ficus carica,3494,,,Dottato,,GU2019,,,333439967,13,Chromosome,12/18/19,VYVB01,511
GCF_016808095.1,ASM1680809v1,Vigna angularis,3914,,,LongXiaoDou No.4,,,,GCF_016808095.1-RS_2022_12,447806493,11,Chromosome,2/4/21,JABFOF01,34
GCA_030737875.1,ASM3073787v1,Allium sativum,4682,,,no,,,,,16462794857,19,Chromosome,8/16/23,JASFAX01,7739
GCF_018687715.1,C.illinoinensisPawnee_v1,Carya illinoinensis,32201,,,Pawnee,,,,NCBI Carya illinoinensis Annotation Release 100,674272338,16,Chromosome,6/3/21,JAEDWW01,34
GCF_951802175.1,ddPopNigr1.1,Populus nigra,3691,,,,,,,GCF_951802175.1-RS_2024_01,413224811,19,Chromosome,5/27/23,CATOPT01,21
GCF_004193775.1,ASM419377v2,Glycine soja,3848,,,W05,,,,NCBI Glycine soja Annotation Release 100,1013211804,20,Chromosome,2/21/19,QZWG01,1118
GCF_003573695.1,ASM357369v1,Papaver somniferum,3469,,,HN1,,,,NCBI Papaver somniferum Annotation Release 100,2715377404,11,Chromosome,9/18/18,PUWZ01,34380
GCA_003430845.1,ASM343084v1,Xanthoceras sorbifolium,99658,,,Zhongshi NO.4,,,,,504383062,15,Chromosome,8/29/18,QUWJ01,2297
GCA_020205615.1,ASM2020561v1,Panax quinquefolius,44588,,,,,WZH-0004,,,3565323611,24,Chromosome,10/4/21,JAINUW01,821
GCA_009805545.1,ASM980554v1,Oryza longistaminata,4528,,,,,w11,,,371348348,12,Chromosome,12/31/19,WNHE01,1009
GCA_018132145.1,ASM1813214v1,Boehmeria nivea var. tenacissima,396368,,,Qingyezhuma,,,,,270213153,14,Chromosome,4/26/21,JACWIL01,135
GCA_034509565.1,PI306540_Tmono,Triticum monococcum,4568,,,PI 306540,,,,,5115539301,7,Chromosome,12/27/23,JAWJKA01,11
GCA_037177725.1,Cte V1.0,Cyamopsis tetragonoloba,3832,,,short-day,,,,,481203946,7,Chromosome,3/18/24,JAYESC01,237
GCF_000147395.1,OglaRS2,Oryza glaberrima,4538,,,,,,,NCBI Oryza glaberrima Annotation Release 100,347321046,12,Chromosome,3/10/21,ADWL02,72
GCA_023091065.1,ASM2309106v1,Dianthus caryophyllus,3570,,,Scarlet Queen,,,,,636302055,15,Chromosome,5/12/22,JALGRB01,32
GCA_037355405.1,Amur_grape_Zuoshan1,Vitis amurensis,103351,,,Zuoshan No. 1,,,,,615429587,19,Chromosome,3/20/24,JBAPGN01,3040
GCA_022539455.1,Dnobile,Dendrobium nobile,94219,,,,,,hermaphrodite,Annotation submitted by Guangzhou Medical University,1199116975,19,Chromosome,3/10/22,JAGYWB01,57
GCA_014218235.1,Taro_JAAS_v1.0,Colocasia esculenta,4460,,,Longxiangyu,Jiangsu,LXY-2018,,,2405846852,14,Chromosome,8/17/20,JACBKR01,7735
GCA_033030585.1,KIB_Fhip_1.0,Hippophae rhamnoides,193516,,,,,fr03,,,752060844,12,Chromosome,10/27/23,JAVHJT01,71
GCA_033977485.1,Hmc_EndlessSummer_p1.0,Hydrangea macrophylla,23110,,,Endless Summer,,EndlessSummer_2023a,,,2222055030,18,Chromosome,11/29/23,JASDAS01,19
GCF_025698545.1,ASM2569854v1,Gossypium raimondii,29730,,,,,GPD5lz,,NCBI Gossypium raimondii Annotation Release 101,750205487,13,Chromosome,10/17/22,JAOWAE01,287
GCA_030254885.1,VITMroCarlos_v1.3,Vitis rotundifolia,103349,,,Carlos,,,,Annotation submitted by University of Tennessee,414839711,20,Chromosome,6/12/23,JARBHA01,75
GCA_022984855.1,ASM2298485v1,Dimocarpus longan,128017,,,JDB,,,,,454299200,15,Chromosome,4/19/22,JALHSO01,90
GCA_034195605.1,ASM3419560v1,Santalum album,35974,,,,,TX1,,,207448310,10,Chromosome,12/7/23,JAXCHL01,211
GCF_020283565.1,ARS_RC_1.1,Trifolium pratense,57577,,,HEN17-A07,,,,NCBI Trifolium pratense Annotation Release 100,413578898,7,Chromosome,10/13/21,JAIHMJ01,88
GCA_020310875.1,C.richardii_v2,Ceratopteris richardii,49495,,,Hn-n,,Whitten #5841,,Annotation submitted by Open Green Genomes Project,7462456809,39,Chromosome,11/5/21,JAIKUY01,10772
GCA_019395295.1,O.fragrans.LYG.hic.fasta,Osmanthus fragrans,93977,,,Liuyejingui,,,,,733263510,23,Chromosome,7/30/21,JAEDXY01,117
GCA_023846275.1,ASM2384627v1,Vanilla planifolia,51239,,,CR-VA-00040,,,,,1416355720,14,Chromosome,6/29/22,JAIUJO01,3874
GCA_030737815.1,ASM3073781v1,Allium fistulosum,35875,,,no,,,,,11672876163,8,Chromosome,8/16/23,JASFAW01,192
GCF_958298935.1,lpPhrAust1.1,Phragmites australis,29695,,,,,,,GCF_958298935.1-RS_2024_01,848669966,24,Chromosome,7/6/23,CATQJE01,37
GCA_016432845.1,guava_v11.23,Psidium guajava,120290,,,New Age,Taiwan,Zhanjiang,,,443755635,11,Chromosome,1/6/21,JAEAMS01,44
GCA_030686995.1,ASM3068699v1,Artemisia argyi,259893,,,Xiang Ai,,,,,8003642285,34,Chromosome,8/9/23,JARVZY01,11490
GCA_028015215.1,ASM2801521v1,Gynostemma pentaphyllum,182084,,,,Si Chuan,JGL_L1,,,608986630,11,Chromosome,1/26/23,JAPAFB01,18
GCA_030145905.1,NIFOS_PopDav_1.0,Populus davidiana,266767,,,Odae 19,,Odae 19,,,408133675,19,Chromosome,6/2/23,JAMQGN01,259
GCA_007844245.1,ASM784424v1,Pyrus betulifolia,436086,,,Shanxi Duli,,,,,532246571,17,Chromosome,8/8/19,VDML01,136
GCA_022457205.1,ASM2245720v1,Saccharum spontaneum,62335,,,,,Np-X,,,2761164190,40,Chromosome,3/4/22,JAKOGQ01,1033
GCF_003073215.2,Tu2.1,Triticum urartu,4572,,,G1812,,,,NCBI Triticum urartu Annotation Release 100,4849077157,7,Chromosome,4/30/18,MKGO01,10204
GCA_003952965.2,Mru_ZJU_2,Morella rubra,262757,,,Y2012-145,,,female,Annotation submitted by Zhejiang University,313008583,8,Chromosome,9/23/20,RXIC02,511
GCF_002162155.2,WEW_v2.1,Triticum dicoccoides,85692,,,,Zavitan,Atlit2015,,NCBI Triticum dicoccoides Annotation Release 100,10677097747,14,Chromosome,2/4/19,LSYQ02,148296
GCF_001865875.1,LupAngTanjil_v1.0,Lupinus angustifolius,3871,,,Tanjil,,,,NCBI Lupinus angustifolius Annotation Release 100,609203021,20,Chromosome,11/16/16,MLAU01,14378
GCA_016760335.1,NIFOS_GasEla_1.0,Gastrodia elata,91201,,,,,EJP_2020-GE1012,,,1046143939,18,Chromosome,1/28/21,JACERR01,514
GCA_000576495.2,OgluRS3,Oryza glumipatula,40148,,,,,,,,388593428,12,Chromosome,3/10/21,ALNU03,68
GCA_032199755.1,A.artemisiifolia_dipasm_2023_h1_p,Ambrosia artemisiifolia,4212,,,,,NSS02/B,,,1102797608,18,Chromosome,10/4/23,JAQQBG01,1392
GCA_002890555.2,ZAAS_Lsic_2.0,Lagenaria siceraria,3668,,,Hangzhou gourd,,,,,297879142,11,Chromosome,4/26/19,MIMD02,27
GCA_030142095.1,RiMJ,Rubus idaeus,32247,,,Malling Jewel,,,,,265731984,7,Chromosome,6/5/23,JASCWZ01,11
GCA_017139565.1,ASM1713956v1,Luffa aegyptiaca,3670,,,P93075,,,,,656028354,13,Chromosome,3/9/21,JAETGN01,326
GCA_009771035.1,CNRS_Lalb_1.0,Lupinus albus,3870,,,Amiga,,,,Annotation submitted by White lupin genome,449991378,26,Chromosome,12/20/19,WOCE01,83
GCA_023678885.1,GZUCM_PCab_1.0,Pogostemon cablin,28511,,,,shipai,S1-5,,,1940436711,63,Chromosome,6/8/22,JAHCLQ01,965
GCA_964106015.1,ddPopTrem1.hap1.1,Populus tremula,113636,,,,,,,,408644056,19,Chromosome,6/6/24,CAXKYL01,162
GCA_030545235.1,HelTub_1.0,Helianthus tuberosus,4233,,,Juyu,Yulin,,,,21621108629,102,Chromosome,8/8/23,JARYGA01,61453
GCA_020875875.1,Dalata_v2,Dioscorea alata,55571,,,TDa95/00328,,,,Annotation submitted by University of California Berkeley,480026477,20,Chromosome,11/16/21,JAFBII01,25
GCA_039655645.1,Am_WGS_v1.0,Ammopiptanthus mongolicus,126911,,,,,Bayanhot,,,842357595,9,Chromosome,5/17/24,JBCIVQ01,487
GCA_016624345.1,ASM1662434v1,Platycodon grandiflorus,94286,,,Jangbaek-doraji,,209935,,,574706410,9,Chromosome,1/19/21,JACONP01,429
GCA_028984105.1,UGA_lav_v1,Lavandula angustifolia,39329,,,Munstead,,,,,795075733,25,Chromosome,3/6/23,JAPVEC01,306
GCA_010577795.1,ASM1057779v1,Isatis tinctoria,161756,,,,,I672,,,293865481,7,Chromosome,2/14/20,VHIU01,809
GCA_013103745.1,ASM1310374v1,Gardenia jasminoides,114476,,,9-Jan,,,,,534884156,11,Chromosome,5/15/20,VZDL01,79
GCA_005771605.1,ASM577160v1,Scutellaria baicalensis,65409,,,,Heibei,Sb-2017,,,386673738,9,Chromosome,5/29/19,VALJ01,114
GCA_009905375.1,ASM990537v1,Apium graveolens,4045,,,Ventura,,,,Annotation submitted by North China University of Science and Technology,3332577507,11,Chromosome,1/28/20,WRXP01,4852
GCA_019097785.1,FRAX_001_PL,Fraxinus excelsior,38873,,,,,FRAX-001,,,806515885,23,Chromosome,7/6/21,JAGHKM01,415
GCA_036186865.1,ASM3618686v1,Eustoma grandiflorum,52518,,,,,,,,1324827894,36,Chromosome,9/2/23,,100
GCF_009727055.1,ASM972705v1,Benincasa hispida,102211,,,B227,,,,NCBI Benincasa hispida Annotation Release 100,912951219,12,Chromosome,12/3/19,WEIL01,1791
GCA_907173295.1,Bhaga_Chr,Fagus sylvatica,28930,,,,,,,,540344453,12,Chromosome,5/17/21,CAJSFY01,167
GCA_019155195.1,amgenome_v1.0,Avicennia marina,82927,,,,,PICH2015,,,456608395,31,Chromosome,7/7/21,JACDXK01,32
GCF_001531365.2,CcrdV1.1,Cynara cardunculus var. scolymus,59895,,,,,2C,,NCBI Cynara cardunculus subsp. cardunculus Annotation Release 100,724962400,17,Chromosome,4/17/18,LEKV01,13479
GCA_023525745.1,ASM2352574v1,Arctium lappa,4217,,,niubang,Longdong,Gansu,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",1727363248,18,Chromosome,5/24/22,JAKOEK01,299
GCA_964197575.1,drVicSati1.hap1.1,Vicia sativa,3908,,,,,,,,1748915206,6,Chromosome,7/3/24,CAXMWQ01,255
GCA_030378355.1,ASM3037835v1,Eleusine indica,29674,,,,,GLY-S,,,522528889,9,Chromosome,7/6/23,JARKIM01,108
GCA_023653625.1,ASM2365362v1,Triadica sebifera,139772,,W40,,,,,,739397770,22,Chromosome,6/7/22,JALBGG01,25
GCA_030770085.1,ASM3077008v1,Oryza coarctata,77588,,,,,Oco-Bangladesh,,,573362877,24,Chromosome,8/24/23,JAULJY01,450
GCA_000576065.2,OnivRS2,Oryza nivara,4536,,,,,,,,395534265,12,Chromosome,3/10/21,AWHD02,38
GCA_023525715.1,ASM2352571v1,Cichorium intybus,13427,,,Punajuju,,,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",1278752569,9,Chromosome,5/24/22,JAKNSD01,208
GCA_022749755.1,ASM2274975v1,Azadirachta indica,124943,,,,,26-7,,,281703417,14,Chromosome,3/29/22,JAGQDM01,70
GCA_019776745.2,Ta-2021,Taxus chinensis,29808,,,,,Ta-2019,female,Annotation submitted by Chinese academy of agriculture sciences,10237952243,12,Chromosome,1/26/22,JAHRHJ02,3813
GCA_007827005.2,Populus_simonii_2.0,Populus simonii,295327,,,,,L-3,,,441407051,19,Chromosome,8/16/19,VJNQ02,686
GCA_009363875.1,ASM936387v1,Mikania micrantha,192012,,,,,NLD-2019,,Annotation submitted by Agricultural Genomics institute at Shenzhen,1790643622,19,Chromosome,10/28/19,SZYD01,2815
GCF_004353265.1,EGFV_Vit.rip_1.0,Vitis riparia,96939,,,Riparia Gloire de Montpellier,,1030,,NCBI Vitis riparia Annotation Release 100,500105807,19,Chromosome,4/16/19,SJAQ01,174
GCA_016618105.1,ASM1661810v1,Dendrobium huoshanense,154293,,,,,K2B,,,1284285095,19,Chromosome,1/19/21,JADPUM01,2256
GCA_028274465.1,UofA_Burton_1,Plantago ovata,185002,,,,,WT-2017,,,500939359,4,Chromosome,1/30/23,JAHHQI01,876
GCF_001879085.1,NIATTr2,Nicotiana attenuata,49451,,UT,,,,,NCBI Nicotiana attenuata Annotation Release 100,2365682703,12,Chromosome,11/15/16,MJEQ01,37194
GCA_028551475.1,ASM2855147v1,Casuarina equisetifolia,3523,,,,,YG_2022a,,,268942579,9,Chromosome,2/8/23,JAKISB01,47
GCA_009763385.1,ASM976338v1,Coix lacryma-jobi var. lacryma-jobi,1156411,,,BJ,,,,,1731458735,10,Chromosome,12/18/19,VDCT01,1233
GCA_040143545.1,ReSoon,Reaumuria songarica,194564,,,,,ZD-2024a,,,1280583998,11,Chromosome,6/12/24,JBEBFM01,325
GCA_037074535.1,ASM3707453v1,Gleditsia sinensis,66096,,,,,ZJ-agis,,,921441504,14,Chromosome,3/13/24,JAYWLF01,86
GCA_030867185.1,ASM3086718v1,Tagetes erecta,13708,,,,,WSJ,,"Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences",778926021,12,Chromosome,8/24/23,JAUHHV01,26
GCA_911865555.2,T_arvense_v2,Thlaspi arvense,13288,,,,,,,Annotation submitted by ecSeq Bioinformatics GmbH,525555146,7,Chromosome,3/23/22,CAJVSB02,964
GCA_030549335.1,CAS_Eicr_1.0,Pontederia crassipes,44947,,,,,ZH-2023,,,1132240410,16,Chromosome,7/31/23,JAUKPH01,43
GCA_030347555.1,ILRI_Lpur,Lablab purpureus,35936,,,Highworth,,,,,426257348,11,Chromosome,6/27/23,JAMXMO01,1744
GCA_030272315.1,ASM3027231v1,Paspalum vaginatum,158149,,,SeaIsle2000,,,,,517974767,10,Chromosome,6/16/23,JAMSGZ01,179
GCA_013389735.1,COL_Plunatus_1.0,Phaseolus lunatus,3884,,,G27455,,,,,545376289,11,Chromosome,7/8/20,JAAFYQ01,303
GCA_963859935.3,JIC_Lsat_v2.1.1,Lathyrus sativus,3860,,,,,,,Annotation submitted by John Innes Centre,5967284493,7,Chromosome,2/9/24,CAWUDS03,7646
GCA_004837865.1,BananaB_V1,Musa balbisiana,52838,,,,,DH-PKW,,Annotation submitted by Institute of Tropical Bioscience and Biotechnology,492775286,11,Chromosome,7/9/19,PYDT01,2590
GCA_039519185.1,ASM3951918v1,Astragalus membranaceus,649199,,,,China,JZ-2020,,,1431172848,9,Chromosome,5/7/24,JAZGSX01,338
GCA_017979445.1,ASM1797944v1,Akebia trifoliata,155132,,,,,Shusen 1,,,652796637,16,Chromosome,4/16/21,JADQWC01,913
GCA_039720395.1,ZJU_Lfor_1.0,Liquidambar formosana,63359,,,,,Hangzhou,,Annotation submitted by Zhejiang University,718378248,16,Chromosome,5/24/24,JBBPBK01,417
GCA_022559845.1,ASM2255984v1,Amorphophallus konjac,78372,,,,Fuyuan,FY2019,,,5598555559,13,Chromosome,3/14/22,JAHNEJ01,3678
GCA_030979885.1,Rabiosa unphased assembly,Lolium multiflorum,4521,,,Rabiosa,,02402/16,,"Annotation submitted by Molecular Plant Breeding Group, ETH Zurich",2462086667,7,Chromosome,8/30/23,JAUUTY01,1916
GCA_014182545.1,ASM1418254v1,Eucalyptus globulus,34317,,,,,CBG9404798.5,,,545024609,11,Chromosome,8/14/20,JABKBK01,47
GCA_016081115.2,ASM1608111v2,Rehmannia glutinosa,99300,,,Qinhuai,,DH-2019,,Annotation submitted by Henan University of Chinese Medicine,2407208525,14,Chromosome,2/23/24,JABTTQ02,3506
GCA_036759665.1,G_gynandra_v3.0,Gynandropsis gynandra,190802,,,,,WUR-2023a,,,739950679,17,Chromosome,2/22/24,JAXIOL01,613
GCF_000817695.3,aradu.V14167.gnm2.J7QH,Arachis duranensis,130453,,,V14167,,,,GCF_000817695.3-RS_2023_02,1081735204,10,Chromosome,9/21/20,JQIN02,1588
GCA_021397845.1,ASM2139784v1,Areca catechu,184783,,,Reyan,,,,,2823079964,16,Chromosome,1/11/22,JAHSVC01,73
GCA_029582165.1,ASM2958216v1,Portulaca oleracea,46147,,,,,XW_2022a,,,1134782496,26,Chromosome,4/6/23,JARFYH01,68
GCA_000338895.3,OmerRS3,Oryza meridionalis,40149,,,OR44 (W2112),,,,,393639427,12,Chromosome,3/10/21,ALNW03,198
GCA_000182155.4,ObarRS3,Oryza barthii,65489,,,,,,,,347715970,12,Chromosome,3/10/21,ABRL03,67
GCF_000231095.2,ObraRS2,Oryza brachyantha,4533,,,,,,,NCBI Oryza brachyantha Annotation Release 102,263195077,12,Chromosome,3/10/21,AGAT02,73
GCA_010134655.1,ASM1013465v1,Fragaria nilgerrensis,64941,,,,,YN2017-HM1,,,270303199,7,Chromosome,2/4/20,WPAB01,257
GCA_040144305.1,ASM4014430v1,Paulownia fortunei,586722,,,,,YF-2021,,,476290004,20,Chromosome,6/12/24,JAIEZM01,421
GCA_023638005.1,ASM2363800v1,Forsythia suspensa,126418,,,,,LQ,,,737525904,14,Chromosome,6/2/22,JALRMA01,432
GCF_013401445.1,ASM1340144v1,Tripterygium wilfordii,458696,,,,,XIE 37,,NCBI Tripterygium wilfordii Annotation Release 100,348533228,23,Chromosome,7/13/20,JAAARO01,321
GCA_017311315.1,mabamboo_1.0,Dendrocalamus latiflorus,257763,,,,,YDM-20191121,,,2748733734,70,Chromosome,3/10/21,JACBGG01,411
GCA_963920805.1,ddPriVulg1.1,Primula vulgaris,175104,,,,,,,,417752201,11,Chromosome,12/25/23,CAWUCN01,83
GCF_010389155.1,C_canadensis_v1,Erigeron canadensis,72917,,,,,Cc75,,NCBI Erigeron canadensis Annotation Release 100,426223753,9,Chromosome,3/9/20,WJPJ01,356
GCA_019925795.1,ASM1992579v1,Dendrobium chrysotoxum,161865,,,,,Lindl,,Annotation submitted by The Orchid Conservation and Research Center of Shenzhen,1368173789,19,Chromosome,9/10/21,JAGFBR01,822
GCA_036785865.1,ASM3678586v1,Coffea canephora,49390,,,DH200-94,,,,,672383427,11,Chromosome,2/23/24,JAZHGG01,3033
GCA_021234005.1,ASM2123400v1,Nephelium lappaceum,151071,,,R-162,,,,,409258346,16,Chromosome,1/11/22,JAIZFV01,581
GCA_021464305.1,ASM2146430v1,Kandelia obovata,413952,,,,,Zhangjiangkou,,,190319782,18,Chromosome,1/19/22,JADCRA01,14847
GCA_018208015.1,ASM1820801v1,Medicago ruthenica,70973,,,,,Xinghe,,,904130090,8,Chromosome,5/13/21,WNNG01,650
GCF_023119035.1,UniMelb_Shisp_WGS_1.0,Salvia hispanica,49212,,,TCC Black 2014,,,,NCBI Salvia hispanica Annotation Release 100,321318253,6,Chromosome,4/29/22,JALPBU01,1555
GCA_912172775.2,Fraxinus pennsylvanica genome version 1.5,Fraxinus pennsylvanica,56036,,,,,,,Annotation submitted by UNIVERSITY OF TENNESSEE- KNOXVILLE,756791288,23,Chromosome,5/17/23,CAJVVE02,110
GCA_040182965.1,ASM4018296v1,Clitoria ternatea,43366,,,Milgarra,,UQ01,,,1721557839,8,Chromosome,6/14/24,JAXHEB01,859
GCA_037693485.1,ASM3769348v1,Kitagawia praeruptora,312531,,,,Jianghuai area,BHQH,,,1797363986,11,Chromosome,3/29/24,JAVIWW01,238
GCA_022530915.1,ASM2253091v1,Paspalum notatum,147272,,,,China,baixicao-1,,,540949507,10,Chromosome,3/10/22,JAJQMO01,49
GCA_025413875.1,RHMOLv1,Rhododendron molle,49168,,,,,AT1,,Annotation submitted by Ori-Gene Co. Ltd.,652158357,13,Chromosome,9/28/22,JAKSEO01,21
GCF_947179165.1,daSolDulc1.2,Solanum dulcamara,45834,,,,,,,GCF_947179165.1-RS_2023_05,946304905,12,Chromosome,12/2/22,CAMXBZ02,105
GCA_018361395.1,NTU_Bstr_SAD12_2.2,Boechera stricta,72658,,,,SAD12_CO,,,,190536481,7,Chromosome,5/24/21,JAANAP01,22
GCA_026413675.1,ASM2641367v1,Populus pruinosa,492479,,,,,HH101,female,,518069894,19,Chromosome,11/27/22,JANKMR01,534
GCA_037074615.1,ASM3707461v1,Leucaena leucocephala,3866,,,,,YHH-agis,,,1338165608,56,Chromosome,3/13/24,JAYWLJ01,242
GCA_027405865.1,94003 Monoecious Salix purpurea Haplotype 2 assembly,Salix purpurea,77065,,,94003,,,,,405530279,19,Chromosome,1/3/23,JAOWLH01,153
GCA_037954015.1,Ptet_1,Psophocarpus tetragonolobus,3891,,,,,DUOXIRENSHENG_FW03,,Annotation submitted by Agricultural Genomics Institute at Shenzhen,709758061,9,Chromosome,4/4/24,JAYMYS01,362
GCA_030549775.1,ASM3054977v1,Tamarix chinensis,189791,,,Lucheng No.1,,,,,1323468532,12,Chromosome,7/31/23,JANKMZ01,59
GCA_036507275.1,ASM3650727v1,Sicyos edulis,184140,,,,,JZ-2020b,,,608211883,14,Chromosome,2/22/24,JAYKKH01,103
GCA_028751855.1,ASM2875185v1,Ambrosia trifida,4214,,,,,IAS_0727,,,1657819354,12,Chromosome,2/24/23,JAPZBB01,14
GCA_019202805.1,ASM1920280v1,Arabidopsis suecica,45249,,,,,As9502,,Annotation submitted by Nanjing Agricultural University,271598466,13,Chromosome,7/13/21,JAEFBJ01,254
GCA_020080225.1,ASM2008022v1,Gynochthodes officinalis,266091,,,,,JW2020,,,484869040,11,Chromosome,9/24/21,JAIQDA01,64
GCA_037832385.1,SYSU_Rhapic_HiC,Rhizophora apiculata,106626,,,,,Rhapic_2019_Wenchang,,,231999244,18,Chromosome,4/1/24,JBAPLK01,244
GCA_964102825.1,dhQuePetr1.hap1.1,Quercus petraea,38865,,,,,,,,823572903,12,Chromosome,6/6/24,CAXKYJ01,158
GCF_014633365.1,ASM1463336v1,Diospyros lotus,55363,,,Yz01,,,,NCBI Diospyros lotus Annotation Release 100,630098508,15,Chromosome,9/21/20,JACRTX01,42
GCA_035136125.1,Qrubra_687_v2.0,Quercus rubra,3512,,,,Indiana,pseudo-F2,,"Annotation submitted by University of Tennessee, Knoxville",738996406,12,Chromosome,1/5/24,JAXUIC01,935
GCA_028641055.1,Alomy_genome_v1,Alopecurus myosuroides,81473,,,,Rothamsted,,,,3571731728,7,Chromosome,2/22/23,JAPCYS01,4134
GCA_021437245.1,ASM2143724v1,Aegilops speltoides,4573,,,,,TS01,,,4110187043,7,Chromosome,1/12/22,JAHHZJ01,10827
GCA_029856935.1,ASM2985693v1,Cyclocarya paliurus,117167,,,,,2PG2023,,,583476924,16,Chromosome,4/26/23,JARVXP01,498
GCF_002211085.1,PHallii_v3.1,Panicum hallii,206008,,FIL2,,,,,NCBI Panicum hallii Annotation Release 100,535889049,9,Chromosome,5/1/18,NCQW02,1027
GCA_020205505.1,ASM2020550v1,Panax japonicus,44685,,,,,WZH-0003,,,2028856204,24,Chromosome,10/4/21,JAINUV01,1507
GCA_025403435.1,ASM2540343v1,Artocarpus heterophyllus,3489,,,S10,,,,,985626975,28,Chromosome,9/27/22,JAJQZP01,482
GCF_958449725.1,drRosRugo1.1,Rosa rugosa,74645,,,,,,,GCF_958449725.1-RS_2024_01,417128682,7,Chromosome,7/18/23,CAUDJL01,77
GCA_032847665.1,ASM3284766v1,Solanum chilense,4083,,,LA1972,,,,,901270475,12,Chromosome,10/20/23,JAPDHL01,1910
GCA_034093135.1,ASM3409313v1,Erigeron breviscapus,244311,,,,,SH-2020a,,,1427905205,9,Chromosome,12/5/23,JAXHQA01,1661
GCA_000753965.2,IBAB_Ahyp_2.0,Amaranthus hypochondriacus,28502,,,,,AhG2s,,,417460386,16,Chromosome,10/2/20,JPXE02,1567
GCA_014636745.2,ASM1463674v2,Centella asiatica,48106,,,,Rayong,BB-174,,,430216894,9,Chromosome,9/21/20,JACAVP01,8739
GCA_002993905.1,Msac_v3,Miscanthus sacchariflorus,183675,,,Robustus 297,,,,,2074921001,19,Chromosome,3/14/18,PUID01,137916
GCA_029816415.1,ASM2981641v1,Melastoma malabathricum subsp. normale,528022,,,,,Zigong02,,,306989521,12,Chromosome,4/19/23,JARUQA01,392
GCA_015680905.1,ASM1568090v1,Coptis chinensis,261450,,,,,HL-2020,,Annotation submitted by Hubei University of Chinese Medicine,935659790,9,Chromosome,12/1/20,JADFTS01,116
GCF_963576675.1,ddEupLath1.1,Euphorbia lathyris,212925,,,,,,,GCF_963576675.1-RS_2024_06,1020389306,10,Chromosome,11/3/23,CAUYWJ01,33
GCA_039707655.1,ASM3970765v1,Elymus sibiricus,52830,,,GaomuNo.1,,,,,6898919498,14,Chromosome,5/20/24,JBDKXM01,152
GCA_037074985.1,ASM3707498v1,Solanum bulbocastanum,147425,,,11H21,,,,Annotation submitted by Obihiro Univerisity of Agriculture and Veterinary Medicine,737653378,12,Chromosome,3/13/24,JBANQN01,1631
GCA_028830015.1,ASM2883001v1,Eucalyptus grandis x Eucalyptus urophylla,192399,,,,,SP07,,,1095246901,22,Chromosome,2/24/23,JAQIJZ01,25
GCA_030345395.1,ASM3034539v1,Prunus mongolica,1501231,,,,xerophytic,pm01,,,233102919,8,Chromosome,6/27/23,JARJFA01,82
GCA_033629205.1,ASM3362920v1,Lithocarpus polystachyus,2518020,,,,,STSCBG023,,,952401775,12,Chromosome,11/14/23,JAWTZU01,521
GCA_036874045.1,Cymodocea nodosa var. Cn_1 HAP2 version 1.0,Cymodocea nodosa,55448,,,Cn_1,,,,,374703545,18,Chromosome,2/26/24,JAZBRI01,28
